pars,dataset,app.mthd,incorp,rmse,me,mae,mbe,er.mn,er.md,n
f13,2,os,none,0.08691,0.1165,0.07235,0.001944,0.1342,0.1293,127
f14,2,os,none,0.08681,0.1184,0.07232,0.001901,0.1342,0.1287,127
f20,2,os,none,0.08699,0.1149,0.07235,0.0009643,0.1333,0.1293,127
f21,2,os,none,0.09061,0.03953,0.07534,0.0228,0.1551,0.1496,127
f22,2,os,none,0.08685,0.1176,0.07232,0.001502,0.1338,0.1286,127
f23,2,os,none,0.08683,0.1181,0.07234,0.0007698,0.1331,0.128,127
f24,2,os,none,0.08683,0.1181,0.07234,0.000772,0.1331,0.128,127
f25,2,os,none,0.08706,0.1135,0.07243,0.000911,0.1332,0.128,127
f26,2,os,none,0.08678,0.119,0.07233,0.001488,0.1338,0.1285,127
f27,2,os,none,0.08684,0.1179,0.07235,0.001844,0.1341,0.1286,127
f28,2,os,none,0.08694,0.1159,0.07232,0.001081,0.1334,0.1292,127
f29,2,os,none,0.08694,0.1159,0.07232,0.001076,0.1334,0.1292,127
ps3,2,os,none,0.08694,0.1159,0.07232,0.001076,0.1334,0.1292,127
dropweather,2,os,none,0.09058,0.04033,0.07502,-0.0005504,0.1317,0.1295,127
dropprop,2,os,none,0.08697,0.1152,0.07332,0.008846,0.1411,0.1403,127
dropapp,2,os,none,0.09911,-0.1489,0.08136,0.04625,0.1785,0.1671,127
loocv-104,2,os,none,0.08681,0.1185,0.0722,0.000352,0.1326,0.128,127
loocv-202,2,os,none,0.08639,0.127,0.07237,0.002146,0.1344,0.1267,127
loocv-203,2,os,none,0.08682,0.1183,0.07227,0.000593,0.1329,0.1283,127
loocv-204,2,os,none,0.08727,0.1091,0.07223,-0.003544,0.1287,0.1251,127
loocv-205,2,os,none,0.08648,0.1251,0.07224,7.199e-05,0.1324,0.1267,127
loocv-206,2,os,none,0.08681,0.1186,0.07226,0.0004123,0.1327,0.1285,127
loocv-207,2,os,none,0.08671,0.1204,0.07229,5e-04,0.1328,0.1267,127
loocv-208,2,os,none,0.08668,0.1211,0.07229,0.0006667,0.133,0.1286,127
loocv-209,2,os,none,0.08681,0.1184,0.0723,0.0004727,0.1328,0.1283,127
loocv-210,2,os,none,0.0868,0.1186,0.07229,0.0005359,0.1328,0.1285,127
loocv-212,2,os,none,0.08555,0.1439,0.07136,0.00219,0.1345,0.1271,127
loocv-303,2,os,none,0.0868,0.1188,0.07227,0.0004902,0.1328,0.1283,127
loocv-304,2,os,none,0.08684,0.118,0.07229,0.0005259,0.1328,0.1285,127
loocv-214,2,os,none,0.1355,-1.149,0.1099,0.0841,0.2164,0.202,127
ps1,2,os,none,0.09903,-0.1472,0.08154,0.02626,0.1586,0.1546,127
ps2,2,os,none,0.09592,-0.07623,0.07925,0.03106,0.1633,0.1566,127
f1,1,cs,none,0.05607,0.07749,0.0359,0.01423,0.05798,0.06371,13
f2,1,cs,none,0.05436,0.133,0.03541,0.005934,0.04968,0.05648,13
f3,1,cs,none,0.05616,0.0745,0.04034,0.002495,0.04624,0.04967,13
f4,1,cs,none,0.05577,0.08758,0.03872,0.003707,0.04745,0.05214,13
f5,1,cs,none,0.05554,0.0949,0.03826,0.003307,0.04705,0.05222,13
f6,1,cs,none,0.05694,0.04886,0.0423,0.002111,0.04586,0.04813,13
f7,1,cs,none,0.05768,0.02371,0.04387,0.001241,0.04499,0.04631,13
f8,1,cs,none,0.05854,-0.005305,0.04534,0.002356,0.0461,0.04621,13
f9,1,cs,none,0.05715,0.04179,0.04277,0.002067,0.04581,0.04773,13
f10,1,cs,none,0.05507,0.1102,0.03724,0.003587,0.04733,0.05314,13
f11,1,cs,none,0.05797,0.01396,0.04442,0.00103,0.04478,0.04564,13
f12,1,cs,none,0.05711,0.04295,0.0427,0.002077,0.04582,0.04778,13
f13,1,cs,none,0.05644,0.06533,0.04129,0.002646,0.04639,0.04914,13
f14,1,cs,none,0.05665,0.05854,0.04171,0.002486,0.04623,0.04877,13
f20,1,cs,none,0.05708,0.04415,0.04262,0.001964,0.04571,0.04781,13
f21,1,cs,none,0.05654,0.06203,0.04147,0.002499,0.04625,0.04898,13
f22,1,cs,none,0.05704,0.04533,0.04253,0.001967,0.04571,0.04788,13
f23,1,cs,none,0.05737,0.03448,0.04329,0.001351,0.0451,0.04691,13
f24,1,cs,none,0.05736,0.0345,0.04328,0.001354,0.0451,0.04691,13
f25,1,cs,none,0.05693,0.04901,0.04238,0.001826,0.04557,0.04785,13
f26,1,cs,none,0.05693,0.04914,0.04236,0.001839,0.04559,0.04788,13
f27,1,cs,none,0.05693,0.04897,0.0423,0.002086,0.04583,0.04813,13
f28,1,cs,none,0.05715,0.04157,0.04276,0.001928,0.04567,0.04768,13
f29,1,cs,none,0.05715,0.04155,0.04277,0.001924,0.04567,0.04767,13
ps3,1,cs,none,0.05715,0.04155,0.04277,0.001924,0.04567,0.04767,13
dropweather,1,cs,none,0.05917,-0.02718,0.04717,-0.0003506,0.0434,0.04244,13
dropprop,1,cs,none,0.05762,0.02597,0.04325,0.002621,0.04637,0.04796,13
dropapp,1,cs,none,0.1226,-3.408,0.09337,0.09337,0.1371,0.1165,13
loocv-104,1,cs,none,0.05753,0.02901,0.04359,0.0013,0.04505,0.04663,13
loocv-202,1,cs,none,0.05712,0.04266,0.04275,0.001946,0.04569,0.04769,13
loocv-203,1,cs,none,0.05746,0.03124,0.04345,0.001465,0.04521,0.04686,13
loocv-204,1,cs,none,0.05733,0.0357,0.04318,0.001509,0.04526,0.04708,13
loocv-205,1,cs,none,0.06792,-0.3534,0.05554,-0.03462,0.009127,0.009113,13
loocv-206,1,cs,none,0.05747,0.03108,0.04347,0.001386,0.04513,0.04677,13
loocv-207,1,cs,none,0.05749,0.03028,0.04352,0.001344,0.04509,0.04672,13
loocv-208,1,cs,none,0.05768,0.02381,0.04393,0.001106,0.04485,0.04617,13
loocv-209,1,cs,none,0.05753,0.02883,0.04362,0.001397,0.04514,0.04667,13
loocv-210,1,cs,none,0.05754,0.02862,0.0436,0.001456,0.0452,0.04672,13
loocv-212,1,cs,none,0.05651,0.06296,0.04144,0.002526,0.04627,0.04898,13
loocv-303,1,cs,none,0.05761,0.02607,0.04377,0.001352,0.0451,0.04652,13
loocv-304,1,cs,none,0.05753,0.0289,0.04361,0.001388,0.04513,0.04667,13
loocv-214,1,cs,none,0.05701,0.04652,0.0387,0.01245,0.05619,0.05985,13
ps1,1,cs,none,0.2108,-12.04,0.1922,0.1922,0.2359,0.227,13
ps2,1,cs,none,0.062,-0.1277,0.04895,-0.02567,0.01808,0.02076,13
f1,2,cs,none,0.4863,-0.1063,0.1857,-0.1477,0.06418,0.06385,10
f2,2,cs,none,0.4886,-0.1167,0.19,-0.155,0.05685,0.05654,10
f3,2,cs,none,0.4904,-0.1248,0.195,-0.1619,0.04995,0.04984,10
f4,2,cs,none,0.4895,-0.1208,0.1932,-0.1595,0.05235,0.05238,10
f5,2,cs,none,0.4895,-0.1207,0.1932,-0.1595,0.05241,0.05247,10
f6,2,cs,none,0.4907,-0.1261,0.1965,-0.1637,0.0482,0.04817,10
f7,2,cs,none,0.4911,-0.128,0.1981,-0.1655,0.04641,0.04639,10
f8,2,cs,none,0.4913,-0.1289,0.1983,-0.1658,0.04607,0.04606,10
f9,2,cs,none,0.4908,-0.1267,0.1968,-0.1641,0.04781,0.04776,10
f10,2,cs,none,0.4894,-0.1201,0.1924,-0.1584,0.05342,0.05338,10
f11,2,cs,none,0.4912,-0.1285,0.1985,-0.166,0.04587,0.04583,10
f12,2,cs,none,0.4908,-0.1266,0.1967,-0.164,0.04787,0.04782,10
f13,2,cs,none,0.4905,-0.1252,0.1955,-0.1626,0.04931,0.04917,10
f14,2,cs,none,0.4906,-0.1256,0.1958,-0.163,0.04889,0.04878,10
f20,2,cs,none,0.4908,-0.1265,0.1968,-0.164,0.04786,0.04785,10
f21,2,cs,none,0.4905,-0.1253,0.1957,-0.1628,0.0491,0.04899,10
f22,2,cs,none,0.4908,-0.1264,0.1967,-0.1639,0.04793,0.04793,10
f23,2,cs,none,0.491,-0.1276,0.1976,-0.165,0.0469,0.04691,10
f24,2,cs,none,0.491,-0.1276,0.1976,-0.165,0.04691,0.04692,10
f25,2,cs,none,0.4908,-0.1266,0.1967,-0.164,0.04791,0.04789,10
f26,2,cs,none,0.4908,-0.1265,0.1967,-0.1639,0.04794,0.04792,10
f27,2,cs,none,0.4907,-0.1261,0.1965,-0.1637,0.04819,0.04817,10
f28,2,cs,none,0.4908,-0.1266,0.1969,-0.1641,0.04773,0.04773,10
f29,2,cs,none,0.4908,-0.1266,0.1969,-0.1641,0.04772,0.04772,10
ps3,2,cs,none,0.4908,-0.1266,0.1969,-0.1641,0.04772,0.04772,10
dropweather,2,cs,none,0.4925,-0.1343,0.2012,-0.1695,0.04241,0.04243,10
dropprop,2,cs,none,0.4905,-0.1255,0.1968,-0.1638,0.04806,0.04802,10
dropapp,2,cs,none,0.47,-0.03334,0.1977,-0.09481,0.1171,0.1161,10
loocv-104,2,cs,none,0.4911,-0.1278,0.1978,-0.1652,0.04665,0.04663,10
loocv-202,2,cs,none,0.4908,-0.1268,0.1969,-0.1641,0.04773,0.04773,10
loocv-203,2,cs,none,0.491,-0.1276,0.1976,-0.165,0.04687,0.04689,10
loocv-204,2,cs,none,0.491,-0.1273,0.1974,-0.1648,0.0471,0.04714,10
loocv-205,2,cs,none,0.5049,-0.1922,0.2278,-0.2027,0.009123,0.009113,10
loocv-206,2,cs,none,0.491,-0.1277,0.1977,-0.1651,0.0468,0.0468,10
loocv-207,2,cs,none,0.491,-0.1277,0.1978,-0.1651,0.04674,0.04673,10
loocv-208,2,cs,none,0.4912,-0.1282,0.1982,-0.1656,0.04625,0.04623,10
loocv-209,2,cs,none,0.4911,-0.1278,0.1978,-0.1652,0.04669,0.0467,10
loocv-210,2,cs,none,0.491,-0.1277,0.1977,-0.1651,0.04675,0.04676,10
loocv-212,2,cs,none,0.4905,-0.1254,0.1956,-0.1627,0.04912,0.04899,10
loocv-303,2,cs,none,0.4911,-0.1279,0.1979,-0.1653,0.04655,0.04653,10
loocv-304,2,cs,none,0.4911,-0.1278,0.1978,-0.1652,0.04669,0.0467,10
loocv-214,2,cs,none,0.4872,-0.1102,0.1882,-0.1517,0.06015,0.05993,10
ps1,2,cs,none,0.4507,0.04977,0.2858,0.02531,0.2372,0.227,10
ps2,2,cs,none,0.5006,-0.1722,0.2182,-0.1909,0.02092,0.0208,10
f1,1,bsth,shallow,0.2694,0.3342,0.1881,-0.08579,0.2565,0.2424,4
f2,1,bsth,shallow,0.2163,0.5708,0.1629,-0.02029,0.322,0.3086,4
f3,1,bsth,shallow,0.2221,0.5476,0.1725,-0.01342,0.3288,0.3193,4
f4,1,bsth,shallow,0.2163,0.5709,0.1743,0.008568,0.3508,0.3396,4
f5,1,bsth,shallow,0.2213,0.5508,0.1682,-0.006318,0.3359,0.3291,4
f6,1,bsth,shallow,0.243,0.4585,0.1742,-0.01789,0.3244,0.3151,4
f7,1,bsth,shallow,0.2257,0.5326,0.1839,0.02396,0.3662,0.3622,4
f8,1,bsth,shallow,0.2431,0.4579,0.1743,-0.01787,0.3244,0.315,4
f9,1,bsth,shallow,0.2426,0.4599,0.174,-0.01696,0.3253,0.3162,4
f10,1,bsth,shallow,0.234,0.4977,0.1761,-0.0108,0.3315,0.3296,4
f11,1,bsth,shallow,0.2291,0.5185,0.1723,0.02039,0.3626,0.3626,4
f12,1,bsth,shallow,0.236,0.489,0.1829,0.007546,0.3498,0.3455,4
f13,1,bsth,shallow,0.2494,0.4293,0.2088,0.01996,0.3622,0.3521,4
f14,1,bsth,shallow,0.2463,0.4435,0.2062,0.02312,0.3654,0.357,4
f20,1,bsth,shallow,0.2243,0.5383,0.1837,0.01443,0.3567,0.3507,4
f21,1,bsth,shallow,0.244,0.4537,0.1981,0.007401,0.3497,0.3425,4
f22,1,bsth,shallow,0.2384,0.4785,0.1704,-0.02378,0.3185,0.313,4
f23,1,bsth,shallow,0.2277,0.5244,0.1616,-0.02857,0.3137,0.3104,4
f24,1,bsth,shallow,0.2277,0.5244,0.1616,-0.02856,0.3137,0.3104,4
f25,1,bsth,shallow,0.2275,0.5253,0.1613,-0.02973,0.3125,0.3089,4
f26,1,bsth,shallow,0.2511,0.4214,0.2167,0.01899,0.3612,0.3544,4
f27,1,bsth,shallow,0.2486,0.4332,0.2097,0.01974,0.362,0.3534,4
f28,1,bsth,shallow,0.2236,0.5413,0.1701,-0.005143,0.3371,0.3321,4
f29,1,bsth,shallow,0.2236,0.5413,0.1701,-0.005177,0.3371,0.332,4
ps3,1,bsth,shallow,0.2236,0.5413,0.1701,-0.005177,0.3371,0.332,4
dropweather,1,bsth,shallow,0.2873,0.243,0.1978,-0.07858,0.2637,0.252,4
dropprop,1,bsth,shallow,0.2902,0.2273,0.1621,-0.1535,0.1887,0.1584,4
dropapp,1,bsth,shallow,0.254,0.4083,0.1999,-0.02743,0.3148,0.3119,4
loocv-104,1,bsth,shallow,0.2154,0.5743,0.1639,-0.01096,0.3313,0.3194,4
loocv-202,1,bsth,shallow,0.214,0.5799,0.1639,0.003753,0.346,0.335,4
loocv-203,1,bsth,shallow,0.2189,0.5604,0.1677,-0.007142,0.3351,0.326,4
loocv-204,1,bsth,shallow,0.2152,0.5751,0.1626,-0.00987,0.3324,0.3209,4
loocv-205,1,bsth,shallow,0.2155,0.5742,0.1652,-0.01381,0.3284,0.3152,4
loocv-206,1,bsth,shallow,0.2201,0.5558,0.1696,-0.001893,0.3404,0.3327,4
loocv-207,1,bsth,shallow,0.2159,0.5724,0.1646,-0.008356,0.3339,0.3227,4
loocv-208,1,bsth,shallow,0.2205,0.554,0.1704,-0.008974,0.3333,0.3244,4
loocv-209,1,bsth,shallow,0.2165,0.57,0.1664,-0.005817,0.3364,0.3258,4
loocv-210,1,bsth,shallow,0.2185,0.5619,0.1674,-0.007366,0.3349,0.3256,4
loocv-212,1,bsth,shallow,0.2134,0.5823,0.1536,-0.03988,0.3024,0.2817,4
loocv-303,1,bsth,shallow,0.2182,0.5631,0.1647,-0.01052,0.3317,0.3223,4
loocv-304,1,bsth,shallow,0.2189,0.5604,0.1676,-0.007359,0.3349,0.3258,4
loocv-214,1,bsth,shallow,0.2673,0.3447,0.2093,0.0146,0.3569,0.3307,4
ps1,1,bsth,shallow,0.2506,0.4241,0.2166,0.01384,0.3561,0.3521,4
ps2,1,bsth,shallow,0.3127,0.1028,0.2112,-0.09938,0.2429,0.2025,4
f1,1,bc,shallow,0.1042,0.2795,0.08539,-0.009519,0.2005,0.1634,52
f2,1,bc,shallow,0.1029,0.2972,0.08743,0.006585,0.2166,0.1817,52
f3,1,bc,shallow,0.106,0.253,0.08977,0.0179,0.2279,0.2034,52
f4,1,bc,shallow,0.1103,0.1919,0.09095,0.01565,0.2257,0.1965,52
f5,1,bc,shallow,0.1114,0.175,0.09113,0.0186,0.2286,0.1989,52
f6,1,bc,shallow,0.1104,0.1904,0.09009,0.02361,0.2336,0.2015,52
f7,1,bc,shallow,0.1145,0.1288,0.09092,0.01928,0.2293,0.1899,52
f8,1,bc,shallow,0.1106,0.1872,0.0902,0.02396,0.234,0.2018,52
f9,1,bc,shallow,0.1105,0.1896,0.09014,0.02379,0.2338,0.2015,52
f10,1,bc,shallow,0.1112,0.1782,0.09107,0.01545,0.2255,0.193,52
f11,1,bc,shallow,0.1144,0.131,0.09075,0.02244,0.2325,0.1874,52
f12,1,bc,shallow,0.1104,0.19,0.09098,0.02273,0.2328,0.1977,52
f13,1,bc,shallow,0.1119,0.1688,0.093,0.02139,0.2314,0.1893,52
f14,1,bc,shallow,0.1117,0.1706,0.09273,0.02058,0.2306,0.1892,52
f20,1,bc,shallow,0.1175,0.0824,0.09545,0.02485,0.2349,0.1935,52
f21,1,bc,shallow,0.1183,0.06979,0.0973,0.02845,0.2385,0.1907,52
f22,1,bc,shallow,0.1153,0.1173,0.09398,0.0275,0.2375,0.1998,52
f23,1,bc,shallow,0.1149,0.1229,0.09307,0.02626,0.2363,0.2016,52
f24,1,bc,shallow,0.1149,0.1228,0.09308,0.02626,0.2363,0.2016,52
f25,1,bc,shallow,0.1138,0.1391,0.0928,0.02674,0.2368,0.2005,52
f26,1,bc,shallow,0.1194,0.05317,0.0971,0.02137,0.2314,0.186,52
f27,1,bc,shallow,0.1198,0.04742,0.09752,0.02512,0.2351,0.1893,52
f28,1,bc,shallow,0.1158,0.1098,0.09455,0.01488,0.2249,0.1869,52
f29,1,bc,shallow,0.1158,0.1098,0.09455,0.01488,0.2249,0.1869,52
ps3,1,bc,shallow,0.1158,0.1098,0.09455,0.01488,0.2249,0.1869,52
dropweather,1,bc,shallow,0.1165,0.09798,0.09509,0.0213,0.2313,0.2061,52
dropprop,1,bc,shallow,0.1085,0.2175,0.08437,0.01001,0.22,0.1853,52
dropapp,1,bc,shallow,0.1273,-0.07718,0.09565,-0.02282,0.1872,0.1563,52
loocv-104,1,bc,shallow,0.1179,0.07737,0.09576,0.02016,0.2302,0.1926,52
loocv-202,1,bc,shallow,0.1147,0.1267,0.09407,0.01827,0.2283,0.1881,52
loocv-203,1,bc,shallow,0.1159,0.1078,0.09441,0.01803,0.2281,0.1928,52
loocv-204,1,bc,shallow,0.1162,0.1034,0.09479,0.01869,0.2287,0.1935,52
loocv-205,1,bc,shallow,0.1177,0.07981,0.09556,0.01949,0.2295,0.1945,52
loocv-206,1,bc,shallow,0.117,0.08998,0.0951,0.01839,0.2284,0.192,52
loocv-207,1,bc,shallow,0.1192,0.05578,0.09616,0.01978,0.2298,0.1911,52
loocv-208,1,bc,shallow,0.1192,0.05587,0.09707,0.02638,0.2364,0.2023,52
loocv-209,1,bc,shallow,0.1175,0.08272,0.09538,0.01944,0.2295,0.1923,52
loocv-210,1,bc,shallow,0.1173,0.08594,0.09508,0.01768,0.2277,0.1912,52
loocv-212,1,bc,shallow,0.11,0.1964,0.09154,0.01619,0.2262,0.1884,52
loocv-303,1,bc,shallow,0.1175,0.08358,0.09421,0.006394,0.2164,0.1759,52
loocv-304,1,bc,shallow,0.1166,0.0965,0.09476,0.01791,0.2279,0.192,52
loocv-214,1,bc,shallow,0.1062,0.2503,0.0893,0.02454,0.2346,0.2178,52
ps1,1,bc,shallow,0.1202,0.03998,0.09566,0.05885,0.2689,0.2338,52
ps2,1,bc,shallow,0.1127,0.1567,0.08846,-0.0286,0.1814,0.1505,52
f1,1,bc,deep,0.09406,-20,0.05728,0.05128,0.08253,0.02845,4
f2,1,bc,deep,0.09737,-21.5,0.07229,0.07229,0.1035,0.05754,4
f3,1,bc,deep,0.1085,-26.93,0.1077,0.1077,0.1389,0.1278,4
f4,1,bc,deep,0.05963,-7.437,0.04855,0.04855,0.0798,0.05157,4
f5,1,bc,deep,0.05709,-6.734,0.03923,0.0383,0.06955,0.03673,4
f6,1,bc,deep,0.06856,-10.15,0.04499,0.04362,0.07487,0.03573,4
f7,1,bc,deep,0.04509,-3.824,0.03247,0.02816,0.05941,0.03121,4
f8,1,bc,deep,0.06888,-10.26,0.04517,0.04361,0.07486,0.03553,4
f9,1,bc,deep,0.06719,-9.713,0.04327,0.03881,0.07006,0.02969,4
f10,1,bc,deep,0.069,-10.3,0.04402,0.03898,0.07023,0.02867,4
f11,1,bc,deep,0.04371,-3.533,0.03036,0.02214,0.05339,0.02334,4
f12,1,bc,deep,0.07485,-12.29,0.04687,0.04187,0.07311,0.02831,4
f13,1,bc,deep,0.06974,-10.54,0.04458,0.04092,0.07217,0.03126,4
f14,1,bc,deep,0.07278,-11.57,0.04594,0.04169,0.07294,0.02999,4
f20,1,bc,deep,0.07473,-12.25,0.04609,0.0387,0.06995,0.02422,4
f21,1,bc,deep,0.07654,-12.9,0.04674,0.03944,0.07069,0.02409,4
f22,1,bc,deep,0.07489,-12.31,0.04458,0.03384,0.06509,0.0176,4
f23,1,bc,deep,0.05376,-5.858,0.03362,0.02268,0.05392,0.01685,4
f24,1,bc,deep,0.05378,-5.864,0.03363,0.02269,0.05394,0.01685,4
f25,1,bc,deep,0.05525,-6.245,0.03439,0.02349,0.05474,0.01691,4
f26,1,bc,deep,0.04565,-3.945,0.0297,0.01945,0.0507,0.01841,4
f27,1,bc,deep,0.0718,-11.23,0.04315,0.03296,0.0642,0.01835,4
f28,1,bc,deep,0.07277,-11.57,0.04507,0.03765,0.0689,0.0241,4
f29,1,bc,deep,0.07279,-11.57,0.04508,0.03766,0.06891,0.0241,4
ps3,1,bc,deep,0.07279,-11.57,0.04508,0.03766,0.06891,0.0241,4
dropweather,1,bc,deep,0.1487,-51.45,0.08404,0.07697,0.1082,0.02578,4
dropprop,1,bc,deep,0.1549,-55.96,0.08758,0.08237,0.1136,0.02878,4
dropapp,1,bc,deep,0.02091,-0.03728,0.01629,-0.01408,0.01717,0.001258,4
loocv-104,1,bc,deep,0.05763,-6.88,0.03669,0.02774,0.05899,0.02095,4
loocv-202,1,bc,deep,0.07288,-11.6,0.04627,0.04191,0.07315,0.02988,4
loocv-203,1,bc,deep,0.05781,-6.93,0.03796,0.03202,0.06326,0.02667,4
loocv-204,1,bc,deep,0.05884,-7.216,0.03706,0.02767,0.05892,0.02001,4
loocv-205,1,bc,deep,0.05511,-6.207,0.03715,0.03293,0.06418,0.02992,4
loocv-206,1,bc,deep,0.05765,-6.887,0.03722,0.02952,0.06077,0.0234,4
loocv-207,1,bc,deep,0.062,-8.123,0.0389,0.02972,0.06097,0.02082,4
loocv-208,1,bc,deep,0.05716,-6.754,0.03708,0.02951,0.06076,0.02383,4
loocv-209,1,bc,deep,0.05971,-7.461,0.03978,0.03613,0.06738,0.0312,4
loocv-210,1,bc,deep,0.06126,-7.906,0.04057,0.03684,0.06809,0.03115,4
loocv-212,1,bc,deep,0.09924,-22.37,0.05837,0.05121,0.08246,0.02433,4
loocv-303,1,bc,deep,0.05918,-7.31,0.0395,0.03585,0.0671,0.0312,4
loocv-304,1,bc,deep,0.05974,-7.467,0.03977,0.03611,0.06736,0.03116,4
loocv-214,1,bc,deep,0.01946,0.1017,0.01749,0.01262,0.04387,0.02914,4
ps1,1,bc,deep,0.05158,-5.312,0.04088,0.04088,0.07213,0.04652,4
ps2,1,bc,deep,0.0635,-8.568,0.0404,0.03126,0.06251,0.02271,4
f1,1,ts,shallow,0.2827,-Inf,0.2827,-0.2827,0.08008,0.08008,1
f2,1,ts,shallow,0.2409,-Inf,0.2409,-0.2409,0.1218,0.1218,1
f3,1,ts,shallow,0.2417,-Inf,0.2417,-0.2417,0.121,0.121,1
f4,1,ts,shallow,0.2329,-Inf,0.2329,-0.2329,0.1298,0.1298,1
f5,1,ts,shallow,0.2508,-Inf,0.2508,-0.2508,0.112,0.112,1
f6,1,ts,shallow,0.263,-Inf,0.263,-0.263,0.09975,0.09975,1
f7,1,ts,shallow,0.2273,-Inf,0.2273,-0.2273,0.1354,0.1354,1
f8,1,ts,shallow,0.2626,-Inf,0.2626,-0.2626,0.1001,0.1001,1
f9,1,ts,shallow,0.262,-Inf,0.262,-0.262,0.1007,0.1007,1
f10,1,ts,shallow,0.2573,-Inf,0.2573,-0.2573,0.1054,0.1054,1
f11,1,ts,shallow,0.2623,-Inf,0.2623,-0.2623,0.1004,0.1004,1
f12,1,ts,shallow,0.2331,-Inf,0.2331,-0.2331,0.1296,0.1296,1
f13,1,ts,shallow,0.1801,-Inf,0.1801,-0.1801,0.1826,0.1826,1
f14,1,ts,shallow,0.1865,-Inf,0.1865,-0.1865,0.1763,0.1763,1
f20,1,ts,shallow,0.2059,-Inf,0.2059,-0.2059,0.1568,0.1568,1
f21,1,ts,shallow,0.1982,-Inf,0.1982,-0.1982,0.1645,0.1645,1
f22,1,ts,shallow,0.2665,-Inf,0.2665,-0.2665,0.09625,0.09625,1
f23,1,ts,shallow,0.2638,-Inf,0.2638,-0.2638,0.0989,0.0989,1
f24,1,ts,shallow,0.2638,-Inf,0.2638,-0.2638,0.09893,0.09893,1
f25,1,ts,shallow,0.2613,-Inf,0.2613,-0.2613,0.1015,0.1015,1
f26,1,ts,shallow,0.1671,-Inf,0.1671,-0.1671,0.1956,0.1956,1
f27,1,ts,shallow,0.1848,-Inf,0.1848,-0.1848,0.1779,0.1779,1
f28,1,ts,shallow,0.2394,-Inf,0.2394,-0.2394,0.1233,0.1233,1
f29,1,ts,shallow,0.2395,-Inf,0.2395,-0.2395,0.1233,0.1233,1
ps3,1,ts,shallow,0.2395,-Inf,0.2395,-0.2395,0.1233,0.1233,1
dropweather,1,ts,shallow,0.221,-Inf,0.221,-0.221,0.1418,0.1418,1
dropprop,1,ts,shallow,0.2411,-Inf,0.2411,-0.2411,0.1217,0.1217,1
dropapp,1,ts,shallow,0.1652,-Inf,0.1652,-0.1652,0.1976,0.1976,1
loocv-104,1,ts,shallow,0.2384,-Inf,0.2384,-0.2384,0.1243,0.1243,1
loocv-202,1,ts,shallow,0.2304,-Inf,0.2304,-0.2304,0.1323,0.1323,1
loocv-203,1,ts,shallow,0.2371,-Inf,0.2371,-0.2371,0.1257,0.1257,1
loocv-204,1,ts,shallow,0.2359,-Inf,0.2359,-0.2359,0.1268,0.1268,1
loocv-205,1,ts,shallow,0.2395,-Inf,0.2395,-0.2395,0.1232,0.1232,1
loocv-206,1,ts,shallow,0.2387,-Inf,0.2387,-0.2387,0.124,0.124,1
loocv-207,1,ts,shallow,0.2404,-Inf,0.2404,-0.2404,0.1223,0.1223,1
loocv-208,1,ts,shallow,0.236,-Inf,0.236,-0.236,0.1267,0.1267,1
loocv-209,1,ts,shallow,0.2381,-Inf,0.2381,-0.2381,0.1247,0.1247,1
loocv-210,1,ts,shallow,0.2389,-Inf,0.2389,-0.2389,0.1238,0.1238,1
loocv-212,1,ts,shallow,0.2431,-Inf,0.2431,-0.2431,0.1197,0.1197,1
loocv-303,1,ts,shallow,0.2436,-Inf,0.2436,-0.2436,0.1192,0.1192,1
loocv-304,1,ts,shallow,0.2379,-Inf,0.2379,-0.2379,0.1248,0.1248,1
loocv-214,1,ts,shallow,0.2103,-Inf,0.2103,-0.2103,0.1525,0.1525,1
ps1,1,ts,shallow,0.1734,-Inf,0.1734,-0.1734,0.1894,0.1894,1
ps2,1,ts,shallow,0.2997,-Inf,0.2997,-0.2997,0.06306,0.06306,1
