iteration,parameter,value,parset
73,man.dm.f0,0.559698952652156,3-073
74,man.dm.f0,0.370753410484858,3-074
75,man.dm.f0,0.420360183403048,3-075
76,man.dm.f0,0.610071007300881,3-076
77,man.dm.f0,0.353464059299823,3-077
78,man.dm.f0,0.497596192203899,3-078
79,man.dm.f0,0.491514405916928,3-079
80,man.dm.f0,0.456647347407336,3-080
81,man.dm.f0,0.506968883161373,3-081
82,man.dm.f0,0.442132880377139,3-082
83,man.dm.f0,0.392896943026799,3-083
84,man.dm.f0,0.491261568880526,3-084
85,man.dm.f0,0.445764066995679,3-085
86,man.dm.f0,0.506479782934215,3-086
87,man.dm.f0,0.338107015281741,3-087
88,man.dm.f0,0.731074778735966,3-088
89,man.dm.f0,0.390355085859126,3-089
90,man.dm.f0,0.401669496855452,3-090
91,man.dm.f0,0.506017492707344,3-091
92,man.dm.f0,0.452491720055898,3-092
93,man.dm.f0,0.116955167916116,3-093
94,man.dm.f0,0.443862436397468,3-094
95,man.dm.f0,0.436301489883159,3-095
96,man.dm.f0,0.408921801625539,3-096
97,man.dm.f0,0.422266979521922,3-097
98,man.dm.f0,0.414947441962551,3-098
99,man.dm.f0,0.480506019802571,3-099
100,man.dm.f0,0.58893469995811,3-100
1,man.source.pig.f0,-0.886742070548772,3-001
2,man.source.pig.f0,-0.0931043798073313,3-002
3,man.source.pig.f0,-1.10304930145205,3-003
4,man.source.pig.f0,0.217917765024468,3-004
5,man.source.pig.f0,-0.90918097026326,3-005
6,man.source.pig.f0,-0.682226809272885,3-006
7,man.source.pig.f0,-0.90151990463495,3-007
8,man.source.pig.f0,-1.18947477244778,3-008
9,man.source.pig.f0,-1.2941605956099,3-009
10,man.source.pig.f0,-1.233537501711,3-010
11,man.source.pig.f0,-1.01298949377326,3-011
12,man.source.pig.f0,-0.176894550355287,3-012
13,man.source.pig.f0,-1.42604155191963,3-013
14,man.source.pig.f0,-1.06971443375625,3-014
15,man.source.pig.f0,-1.23698309452908,3-015
16,man.source.pig.f0,-0.396705278267765,3-016
17,man.source.pig.f0,-0.900255288946227,3-017
18,man.source.pig.f0,-0.325466322074408,3-018
19,man.source.pig.f0,-0.994154728364854,3-019
20,man.source.pig.f0,-0.653871532039846,3-020
21,man.source.pig.f0,-0.915894447696126,3-021
22,man.source.pig.f0,-0.110725885197749,3-022
23,man.source.pig.f0,-0.411731728102163,3-023
24,man.source.pig.f0,-5.72971320580306,3-024
25,man.source.pig.f0,-1.49187610853145,3-025
26,man.source.pig.f0,-0.750355724799262,3-026
27,man.source.pig.f0,-0.358907436499676,3-027
28,man.source.pig.f0,-0.954893709330673,3-028
29,man.source.pig.f0,-1.07439734014172,3-029
30,man.source.pig.f0,-1.03946732485191,3-030
31,man.source.pig.f0,-1.0720734389594,3-031
32,man.source.pig.f0,-1.03633101588896,3-032
33,man.source.pig.f0,-0.567180912250986,3-033
34,man.source.pig.f0,-0.721655864697517,3-034
35,man.source.pig.f0,-1.10821223700322,3-035
36,man.source.pig.f0,-1.16601585433774,3-036
37,man.source.pig.f0,-0.845276815702064,3-037
38,man.source.pig.f0,-1.07796809159495,3-038
39,man.source.pig.f0,-0.82285981684293,3-039
40,man.source.pig.f0,-0.134130421482083,3-040
41,man.source.pig.f0,-1.04297469087907,3-041
42,man.source.pig.f0,-0.989765153662461,3-042
43,man.source.pig.f0,-0.80659996216174,3-043
44,man.source.pig.f0,-1.21412039671958,3-044
45,man.source.pig.f0,-0.996381872497623,3-045
46,man.source.pig.f0,-0.952250331548327,3-046
47,man.source.pig.f0,-0.866753256425027,3-047
48,man.source.pig.f0,-0.969195546416709,3-048
49,man.source.pig.f0,-1.50762722601271,3-049
50,man.source.pig.f0,-1.07018332096981,3-050
51,man.source.pig.f0,-1.21274021855542,3-051
52,man.source.pig.f0,-0.839500327574917,3-052
53,man.source.pig.f0,-1.01534192104325,3-053
54,man.source.pig.f0,-0.697783830622641,3-054
55,man.source.pig.f0,-0.575844044585827,3-055
56,man.source.pig.f0,-0.762416342819928,3-056
57,man.source.pig.f0,-0.14486265914987,3-057
58,man.source.pig.f0,-0.211299263158907,3-058
59,man.source.pig.f0,-0.6111506263659,3-059
60,man.source.pig.f0,-1.03851625743234,3-060
61,man.source.pig.f0,-0.473681987011064,3-061
62,man.source.pig.f0,-0.375524190778729,3-062
63,man.source.pig.f0,-0.833718700746095,3-063
64,man.source.pig.f0,-1.18263482691322,3-064
65,man.source.pig.f0,-1.05842544800612,3-065
66,man.source.pig.f0,0.122254157729147,3-066
67,man.source.pig.f0,-1.01972665385622,3-067
68,man.source.pig.f0,-1.03112630082076,3-068
69,man.source.pig.f0,-0.128582223397554,3-069
70,man.source.pig.f0,-1.17565101956023,3-070
71,man.source.pig.f0,-1.07040851163776,3-071
72,man.source.pig.f0,-1.09565670858532,3-072
73,man.source.pig.f0,-0.987061922388552,3-073
74,man.source.pig.f0,-0.871072731150576,3-074
75,man.source.pig.f0,-0.458484090888186,3-075
76,man.source.pig.f0,0.199078111969349,3-076
77,man.source.pig.f0,-0.744552431639805,3-077
78,man.source.pig.f0,-1.09119624618265,3-078
79,man.source.pig.f0,-0.90215596345246,3-079
80,man.source.pig.f0,-0.916398384216545,3-080
81,man.source.pig.f0,-0.676022445603813,3-081
82,man.source.pig.f0,-0.972477112145149,3-082
83,man.source.pig.f0,-1.43929509608279,3-083
84,man.source.pig.f0,-0.812862855688578,3-084
85,man.source.pig.f0,-1.07651017696353,3-085
86,man.source.pig.f0,-0.85327365038703,3-086
87,man.source.pig.f0,-0.692756562207399,3-087
88,man.source.pig.f0,-1.23739953373475,3-088
89,man.source.pig.f0,-0.898651285450025,3-089
90,man.source.pig.f0,-0.83276993739698,3-090
91,man.source.pig.f0,-0.88046546940643,3-091
92,man.source.pig.f0,-0.972356314295325,3-092
93,man.source.pig.f0,-1.1812288175317,3-093
94,man.source.pig.f0,-0.99234726465121,3-094
95,man.source.pig.f0,-0.88268008113089,3-095
96,man.source.pig.f0,-0.802974054951588,3-096
97,man.source.pig.f0,-0.74610829076543,3-097
98,man.source.pig.f0,-1.15846846738313,3-098
99,man.source.pig.f0,-0.996158186127495,3-099
100,man.source.pig.f0,-1.20296629266684,3-100
1,app.mthd.cs.f0,-23.5385020758991,3-001
2,app.mthd.cs.f0,-3.6291679402162,3-002
3,app.mthd.cs.f0,-4.27836307895196,3-003
4,app.mthd.cs.f0,-5.27327694977966,3-004
5,app.mthd.cs.f0,-11.7325151932616,3-005
6,app.mthd.cs.f0,-5.31648657888963,3-006
7,app.mthd.cs.f0,4.5637225781661,3-007
8,app.mthd.cs.f0,-3.77105216534032,3-008
9,app.mthd.cs.f0,-8.7921986042502,3-009
10,app.mthd.cs.f0,-9.27737789275737,3-010
11,app.mthd.cs.f0,-2.2570987446168,3-011
12,app.mthd.cs.f0,-2.41061867032391,3-012
13,app.mthd.cs.f0,-3.62982160003722,3-013
14,app.mthd.cs.f0,-4.10389306394043,3-014
15,app.mthd.cs.f0,-14.097859254833,3-015
16,app.mthd.cs.f0,-5.8103141977556,3-016
17,app.mthd.cs.f0,-7.64905671779146,3-017
18,app.mthd.cs.f0,-4.71995213866819,3-018
19,app.mthd.cs.f0,-7.68448970609326,3-019
20,app.mthd.cs.f0,-4.29830528758288,3-020
21,app.mthd.cs.f0,-5.52592452789822,3-021
22,app.mthd.cs.f0,-4.42492994577323,3-022
23,app.mthd.cs.f0,-6.46555115400062,3-023
24,app.mthd.cs.f0,-5.16530961957507,3-024
25,app.mthd.cs.f0,-3.96888299508724,3-025
26,app.mthd.cs.f0,-4.7920865966768,3-026
27,app.mthd.cs.f0,-6.29524645839563,3-027
28,app.mthd.cs.f0,-5.44637064484818,3-028
29,app.mthd.cs.f0,-11.7526334254613,3-029
30,app.mthd.cs.f0,-3.74092311960314,3-030
31,app.mthd.cs.f0,-1.73274136500856,3-031
32,app.mthd.cs.f0,-9.68678518591537,3-032
33,app.mthd.cs.f0,-6.03729623588149,3-033
34,app.mthd.cs.f0,-1.40818856271079,3-034
35,app.mthd.cs.f0,-5.34565932486011,3-035
36,app.mthd.cs.f0,-10.6914948181245,3-036
37,app.mthd.cs.f0,-3.89922828613306,3-037
38,app.mthd.cs.f0,-8.82921491086811,3-038
39,app.mthd.cs.f0,-4.92896184240534,3-039
40,app.mthd.cs.f0,-5.37879852957331,3-040
41,app.mthd.cs.f0,-5.31779954231924,3-041
42,app.mthd.cs.f0,0.362708496080892,3-042
43,app.mthd.cs.f0,-3.97782634430859,3-043
44,app.mthd.cs.f0,-9.01824381952784,3-044
45,app.mthd.cs.f0,-13.9301267285441,3-045
46,app.mthd.cs.f0,-4.61139168922205,3-046
